code,title,year,ratings_avg,nations,genres
md76rkk,스파이더맨: 뉴 유니버스,2018,8.376912737664913,['미국'],"['애니메이션', '액션', '모험', '코미디', '가족', 'SF']"
tPrzOrr,시맨틱 에러,2022,8.52872835273307,['한국'],"['로맨스', '드라마', 'BL', 'TV드라마']"
tRW0a6P,언내추럴,2018,8.618332106445731,['일본'],"['드라마', 'TV드라마']"
mLOP7lW,바람,2009,7.886671107554141,['한국'],"['드라마', '액션']"
mMO2JAO,메멘토,2000,8.160309011078922,['미국'],"['미스터리', '스릴러']"
mdRL4eL,기생충,2019,8.592884962399875,['한국'],['드라마']
mOo0PkN,너의 이름은.,2016,8.088119928683186,['일본'],"['애니메이션', '드라마', '로맨스']"
mdMBlkR,극한직업,2018,8.378736660461783,['한국'],['코미디']
m5DP0eR,헤어질 결심,2021,8.27890183326911,['한국'],"['로맨스', '드라마', '미스터리', '범죄', '스릴러']"
